Variable name,variable representations,allowable units,exception units,preferred unit for normalization,minimum value by domain knowledge,maximum value by domain knowledge,domain knowledge source
Soluble Liver Antigen IgG Antibody,Soluble Liver Antigen IgG Antibody,,TEMPORAL,,,,
Soluble P-Selectin,Soluble P-Selectin,,TEMPORAL,,,,
Soluble TNF Receptor Type I,Soluble TNF Receptor Type I,,TEMPORAL,,,,
Soluble TNF Receptor Type II,Soluble TNF Receptor Type II,,TEMPORAL,,,,
Soluble Transferrin Receptor,Soluble Transferrin Receptor,,TEMPORAL,,,,
Soluble Tumor Necrosis Factor Receptor,Soluble Tumor Necrosis Factor Receptor,,TEMPORAL,,,,
Soluble Vasc Cell Adhesion Molecule 1,Soluble Vasc Cell Adhesion Molecule 1,,TEMPORAL,,,,
Somatotrophin,Growth Hormone|Somatotrophin,,TEMPORAL,,,,
Sorbitol Dehydrogenase,Sorbitol Dehydrogenase,,TEMPORAL,,,,
Specific Gravity,Specific Gravity,,TEMPORAL,,,,
Specimen Appearance,Specimen Appearance,,TEMPORAL,,,,
Specimen Weight,Specimen Weight,,TEMPORAL,,,,
Sperm Agglutination,Sperm Agglutination,,TEMPORAL,,,,
Sperm Aggregation,Sperm Aggregation,,TEMPORAL,,,,
Sperm Motility,Sperm Motility,,TEMPORAL,,,,
Spermatozoa,Spermatozoa,,TEMPORAL,,,,
Spherocytes,Spherocytes,,TEMPORAL,,,,
Squamous Cell Carcinoma Antigen,Squamous Cell Carcinoma Antigen,,TEMPORAL,,,,
Squamous Epithelial Cells,Squamous Epithelial Cells,,TEMPORAL,,,,
Squamous Epithelial Cells/Total Cells,Squamous Epithelial Cells/Total Cells,,TEMPORAL,,,,
Squamous Transitional Epithelial Cells,Squamous Transitional Epithelial Cells,,TEMPORAL,,,,
Starch Crystals,Starch Crystals,,TEMPORAL,,,,
Stem Cell Factor,KIT Ligand|Stem Cell Factor,,TEMPORAL,,,,
Stomatocytes,Stomatocytes,,TEMPORAL,,,,
Streptococcus pneumoniae Antigen,Streptococcus pneumoniae Antigen,,TEMPORAL,,,,
Streptococcus pneumoniae IgG Antibody,Streptococcus pneumoniae IgG Antibody,,TEMPORAL,,,,
Streptolysin O Antibody,Antistreptolysin O|Streptolysin O Antibody,,TEMPORAL,,,,
Strongyloides IgG Antibody,Strongyloides IgG Antibody,,TEMPORAL,,,,
Sulfa Crystals,Sulfa Crystals,,TEMPORAL,,,,
Sulfate,Sulfate|Sulphate,,TEMPORAL,,,,
Sulfur Dioxide,Sulfur Dioxide,,TEMPORAL,,,,
Surfactant Protein D,SP-D|Surfactant Protein D,,TEMPORAL,,,,
T-Kininogen,T-Kininogen,,TEMPORAL,,,,
T-lymphocyte Crossmatch,T-lymphocyte Crossmatch,,TEMPORAL,,,,
T-Lymphocytes,T-Lymphocytes,,TEMPORAL,,,,
Target Cells,Codocytes|Leptocytes|Mexican Hat Cells|Target Cells,,TEMPORAL,,,,
Tartrate-Resistant Acid Phosphatase 5b,TRAP5B|Tartrate-Resistant Acid Phosphatase 5b,,TEMPORAL,,,,
Tau Protein,Tau Protein|Total Tau Protein,,TEMPORAL,,,,
Taurine,Tauric Acid|Taurine,,TEMPORAL,,,,
Temazepam,Temazepam,,TEMPORAL,,,,
Terminal Deoxynucleotidyl Transferase Ag,Terminal Deoxynucleotidyl Transferase Ag|Terminal Deoxynucleotidyl Transferase Antigen,,TEMPORAL,,,,
Testosterone,Testosterone|Total Testosterone,,TEMPORAL,,,,
"Testosterone, Free","Testosterone, Free",,TEMPORAL,,,,
"Testosterone, Free/Total Protein","Testosterone, Free/Total Protein",,TEMPORAL,,,,
Theophylline,Theophylline,,TEMPORAL,,,,
Thiamine,Thiamine|Vitamin B1,,TEMPORAL,,,,
Threonine,Threonine,,TEMPORAL,,,,
Thrombin Time,Thrombin Time,,TEMPORAL,,,,
Thrombin/Antithrombin,Thrombin/Antithrombin|Thrombin/Antithrombin III,,TEMPORAL,,,,
Thrombocytes,Nucleated Thrombocytes|Thrombocytes,,TEMPORAL,,,,
Thrombomodulin,BDCA3|Thrombomodulin,,TEMPORAL,,,,
Thrombopoietin,Thrombopoietin,,TEMPORAL,,,,
Thromboxane B2,Thromboxane B2,,TEMPORAL,,,,
Thymidine Kinase,Thymidine Kinase,,TEMPORAL,,,,
Thymidine Kinase 1,"Thymidine Kinase 1|Thymidine Kinase, Cytosolic",,TEMPORAL,,,,
Thymidine Kinase 2,"Thymidine Kinase 2|Thymidine Kinase, Mitochondrial",,TEMPORAL,,,,
Thyroglobulin,TG|Thyroglobulin,,TEMPORAL,,,,
Thyroid Antibodies,Thyroid Antibodies,,TEMPORAL,,,,
Thyroid Antimicrosomal Antibodies,Thyroid Antimicrosomal Antibodies,,TEMPORAL,,,,
Thyroid Antithyroglobulin Antibodies,Thyroid Antithyroglobulin Antibodies,,TEMPORAL,,,,
Thyroperoxidase,Thyroid Peroxidase|Thyroperoxidase,,TEMPORAL,,,,
Thyroperoxidase Antibody,Thyroperoxidase Antibody,,TEMPORAL,,,,
Thyrotropin,Thyroid Stimulating Hormone|Thyrotropin|TSH,,TEMPORAL,,,,
Thyrotropin Receptor Antibody,Thyroid Stimulating Hormone Receptor Antibody|Thyrotropin Receptor Antibody,,TEMPORAL,,,,
Thyrotropin Releasing Hormone,Thyrotropin Releasing Factor|Thyrotropin Releasing Hormone,,TEMPORAL,,,,
Thyroxine,Thyroxine|Total T4,,TEMPORAL,,,,
Thyroxine Binding Globulin,Thyroxine Binding Globulin,,TEMPORAL,,,,
"Thyroxine, Free","Free T4|Thyroxine, Free",,TEMPORAL,,,,
"Thyroxine, Free, Indirect","Thyroxine, Free, Indirect",,TEMPORAL,,,,
Timothy Grass Pollen IgA,Timothy Grass Pollen IgA,,TEMPORAL,,,,
Timothy Grass Pollen IgE,Timothy Grass Pollen IgE,,TEMPORAL,,,,
Timothy Grass Pollen IgG,Timothy Grass Pollen IgG,,TEMPORAL,,,,
Timothy Grass Pollen IgG4,Timothy Grass Pollen IgG4,,TEMPORAL,,,,
TIMP1/Creatinine,TIMP1/Creatinine|Tissue Inhibitor of Metalloproteinase 1/Creatinine,,TEMPORAL,,,,
Tissue Inhibitor of Metalloproteinase 1,Tissue Inhibitor of Metalloproteinase 1,,TEMPORAL,,,,
Tissue Plasminogen Activator Antigen,Tissue Plasminogen Activator Antigen,,TEMPORAL,,,,
TNF-a Production Inhibitory Activity,TNF-a Production Inhibitory Activity,,TEMPORAL,,,,
Total Amyloid Precursor Protein,Total Amyloid Precursor Protein,,TEMPORAL,,,,
Total Iron Binding Capacity,Total Iron Binding Capacity,,TEMPORAL,,,,
Total Plasma Cells,Total Plasma Cells,,TEMPORAL,,,,
Total Plasma Cells/Leukocytes,Total Plasma Cells/Leukocytes,,TEMPORAL,,,,
Total Radical-Trap Antioxidant Potential,Total Radical-Trap Antioxidant Potential,,TEMPORAL,,,,
Toxic Granulation,Toxic Granulation,,TEMPORAL,,,,
Toxic Vacuolation,Toxic Vacuolation,,TEMPORAL,,,,
Toxoplasma gondii IgG Antibody,Toxoplasma gondii IgG Antibody,,TEMPORAL,,,,
Toxoplasma gondii IgM Antibody,Toxoplasma gondii IgM Antibody,,TEMPORAL,,,,
Transferrin,Transferrin,,TEMPORAL,,,,
Transferrin Saturation,Iron Binding Capacity Saturation|Iron Saturation|Iron to TIBC|Transferrin Saturation,,TEMPORAL,,,,
Transforming Growth Factor Beta,Transforming Growth Factor Beta,,TEMPORAL,,,,
Transforming Growth Factor Beta 1,Transforming Growth Factor Beta 1,,TEMPORAL,,,,
Transitional Epithelial Cells,Transitional Epithelial Cells,,TEMPORAL,,,,
Tree Mix Pollen Antigen IgE Antibody,Tree Mix Pollen Antigen IgE Antibody,,TEMPORAL,,,,
Tree Mix Pollen Antigen IgG Antibody,Tree Mix Pollen Antigen IgG Antibody,,TEMPORAL,,,,
Treponema pallidum Antibody,Treponema pallidum Antibody,,TEMPORAL,,,,
Trichomonas,Trichomonas,,TEMPORAL,,,,
Tricyclic Antidepressants,Tricyclic Antidepressants,,TEMPORAL,,,,
Triglycerides,Triglycerides|TRIG,,TEMPORAL,,,,
Triglycerides/HDL Cholesterol,Triglycerides/HDL Cholesterol,,TEMPORAL,,,,
Triiodothyronine,Total T3|Triiodothyronine|t3 total,,TEMPORAL,,,,
Triiodothyronine Uptake,Triiodothyronine Uptake,,TEMPORAL,,,,
"Triiodothyronine, Free","Free T3|Triiodothyronine, Free",,TEMPORAL,,,,
"Triiodothyronine, Reverse","Triiodothyronine, Reverse",,TEMPORAL,,,,
Triple Phosphate Crystals,Triple Phosphate Crystals,,TEMPORAL,,,,
Troponin,Troponin,,TEMPORAL,,,,
Troponin I,Troponin I,,TEMPORAL,,,,
Troponin I Type 1,Slow-Twitch Skeletal Muscle Troponin I|Troponin I Type 1|ssTnI,,TEMPORAL,,,,
Troponin I Type 2,Fast-Twitch Skeletal Muscle Troponin I|Troponin I Type 2|fsTnI,,TEMPORAL,,,,
Troponin I Type 3,Cardiac Troponin I|TNNC1|Troponin I Type 3|cTnI,,TEMPORAL,,,,
Troponin T,Troponin T,,TEMPORAL,,,,
Trypsin 1 and Trypsinogen 1,Trypsin 1 and Trypsinogen 1,,TEMPORAL,,,,
Trypsin and Trypsinogen,Trypsin and Trypsinogen,,TEMPORAL,,,,
Tryptase,Tryptase,,TEMPORAL,,,,
Tubular Epithelial Cells,Renal Tubular Epithelial Cells|Tubular Epithelial Cells,,TEMPORAL,,,,
Tumor Necrosis Factor,Tumor Necrosis Factor|Tumor Necrosis Factor alpha,,TEMPORAL,,,,
Tumor Necrosis Factor Receptor 1,CD120a|Tumor Necrosis Factor Receptor 1,,TEMPORAL,,,,
Turbidity,Turbidity,,TEMPORAL,,,,
Type I Collagen C-Telopeptides,Type I Collagen C-Telopeptides|Type I Collagen X-linked C-telopeptide,,TEMPORAL,,,,
Type I Collagen C-Telopeptides/Creat,Type I Collagen C-Telopeptides/Creat,,TEMPORAL,,,,
Type I Collagen N-Telopeptides,Type I Collagen N-Telopeptides,,TEMPORAL,,,,
Type I Myeloblasts,Type I Myeloblasts,,TEMPORAL,,,,
Type II Collagen C-Telopeptides,Type II Collagen C-Telopeptides,,TEMPORAL,,,,
Type II Collagen C-Telopeptides/Creat,Type II Collagen C-Telopeptides/Creat,,TEMPORAL,,,,
Type II Collagen N-Telopeptides,Type II Collagen N-Telopeptides,,TEMPORAL,,,,
Type II Myeloblasts,Type II Myeloblasts,,TEMPORAL,,,,
Type II Secretory Phospholipase A2,Type II Secretory Phospholipase A2,,TEMPORAL,,,,
Type III Myeloblasts,Type III Myeloblasts,,TEMPORAL,,,,
Tyrosine,Tyrosine,,TEMPORAL,,,,
Tyrosine Crystals,Tyrosine Crystals,,TEMPORAL,,,,
Unclassified Casts,Unclassified Casts,,TEMPORAL,,,,
Unclassified Crystals,Unclassified Crystals,,TEMPORAL,,,,
Unsaturated Iron Binding Capacity,Unsaturated Iron Binding Capacity,,TEMPORAL,,,,
Unspecified Cells,Unspecified Cells,,TEMPORAL,,,,
Unspecified Cells/Total Cells,Unspecified Cells/Total Cells,,TEMPORAL,,,,
Urate,Urate|Uric Acid,,TEMPORAL,,,,
Urate/Creatinine,Urate/Creatinine,,TEMPORAL,,,,
Urea,Urea,,TEMPORAL,,,,
Urea Nitrogen,Urea Nitrogen|BUN,,TEMPORAL,,,,
Urea Nitrogen/Creatinine,Urea Nitrogen/Creatinine|BUN/CREATININE|BUN / CREATININE,,TEMPORAL,,,,
Urea/Creatinine,Urea/Creatinine,,TEMPORAL,,,,
Uric Acid Crystals,Uric Acid Crystals,,TEMPORAL,,,,
Urine Conductivity,Urine Conductivity,,TEMPORAL,,,,
Urobilinogen,Urobilinogen,,TEMPORAL,,,,
Vacuolated Lymphocytes,Vacuolated Lymphocytes,,TEMPORAL,,,,
Vacuolated Lymphocytes/Leukocytes,Vacuolated Lymphocytes/Leukocytes,,TEMPORAL,,,,
Vacuolated Neutrophils,Vacuolated Neutrophils,,TEMPORAL,,,,
Valine,Valine,,TEMPORAL,,,,
Vanillyl Mandelic Acid,Vanillyl Mandelic Acid|Vanilmandelic Acid,,TEMPORAL,,,,
Varicella Zoster Virus Antibody,Varicella Zoster Virus Antibody,,TEMPORAL,,,,
Varicella Zoster Virus IgA Antibody,Varicella Zoster Virus IgA Antibody,,TEMPORAL,,,,
Varicella Zoster Virus IgG Antibody,Varicella Zoster Virus IgG Antibody,,TEMPORAL,,,,
Varicella Zoster Virus IgM Antibody,Varicella Zoster Virus IgM Antibody,,TEMPORAL,,,,
Vascular Cell Adhesion Molecule 1,Vascular Cell Adhesion Molecule 1,,TEMPORAL,,,,
Vascular Endothelial Growth Factor,Vascular Endothelial Growth Factor,,TEMPORAL,,,,
Vascular Endothelial Growth Factor A,Vascular Endothelial Growth Factor A,,TEMPORAL,,,,
Viable Cells,Viable Cells,,TEMPORAL,,,,
Viscosity,Viscosity,,TEMPORAL,,,,
Vitamin A,Retinol|Vitamin A,,TEMPORAL,,,,
Vitamin B12,Vitamin B12,,TEMPORAL,,,,
Vitamin B17,Amygdalin|Vitamin B17,,TEMPORAL,,,,
Vitamin B5,Pantothenic Acid|Vitamin B5,,TEMPORAL,,,,
Vitamin B6,Pyridoxine|Vitamin B6,,TEMPORAL,,,,
Vitamin B7,Biotin|Vitamin B7,,TEMPORAL,,,,
Vitamin B9,Folic Acid|Vitamin B9,,TEMPORAL,,,,
Vitamin C,Ascorbic Acid|Vitamin C,,TEMPORAL,,,,
Vitamin D,Total Vitamin D|Vitamin D,,TEMPORAL,,,,
Vitamin D2,Ergocalciferol|Vitamin D2,,TEMPORAL,,,,
Vitamin D3,Cholecalciferol|Vitamin D3,,TEMPORAL,,,,
Vitamin E,Vitamin E,,TEMPORAL,,,,
Vitamin E/Cholesterol,Vitamin E/Cholesterol,,TEMPORAL,,,,
Vitamin K,Naphthoquinone|Vitamin K,,TEMPORAL,,,,
Vitamin K1,Phylloquinone|Phytomenadione|Vitamin K1,,TEMPORAL,,,,
VLDL Cholesterol,VLDL Cholesterol,,TEMPORAL,,,,
VLDL Cholesterol Subtype 1,VLDL Cholesterol Subtype 1,,TEMPORAL,,,,
VLDL Cholesterol Subtype 2,VLDL Cholesterol Subtype 2,,TEMPORAL,,,,
VLDL Cholesterol Subtype 3,VLDL Cholesterol Subtype 3,,TEMPORAL,,,,
VLDL Particle Size,VLDL Particle Size,,TEMPORAL,,,,
Volume,Volume,,TEMPORAL,,,,
von Willebrand Factor,von Willebrand Factor|von Willebrand Factor Antigen,,TEMPORAL,,,,
von Willebrand Factor Activity,von Willebrand Factor Activity,,TEMPORAL,,,,
Waxy Casts,Waxy Casts,,TEMPORAL,,,,
WBC Casts,WBC Casts,,TEMPORAL,,,,
WD Repeat-Containing Protein 26,CDW2|MIP2|Macrophage Inflammatory Protein-2|WD Repeat-Containing Protein 26,,TEMPORAL,,,,
Weed Mix Pollen Antigen IgA Antibody,Weed Mix Pollen Antigen IgA Antibody,,TEMPORAL,,,,
Weed Mix Pollen Antigen IgE Antibody,Weed Mix Pollen Antigen IgE Antibody,,TEMPORAL,,,,
Weed Mix Pollen Antigen IgG Antibody,Weed Mix Pollen Antigen IgG Antibody,,TEMPORAL,,,,
Western Ragweed Pollen IgA,Western Ragweed Pollen IgA,,TEMPORAL,,,,
Western Ragweed Pollen IgE,Western Ragweed Pollen IgE,,TEMPORAL,,,,
Western Ragweed Pollen IgG,Western Ragweed Pollen IgG,,TEMPORAL,,,,
Western Ragweed Pollen IgG4,Western Ragweed Pollen IgG4,,TEMPORAL,,,,
Yeast Budding,Budding Yeast|Yeast Budding,,TEMPORAL,,,,
Yeast Cells,Yeast Cells,,TEMPORAL,,,,
Yeast Hyphae,Yeast Hyphae,,TEMPORAL,,,,
YKL-40 Protein,Chitinase-3-Like Protein 1|YKL-40 Protein,,TEMPORAL,,,,
Zinc,Zinc,,TEMPORAL,,,,
